ЧЕПЧИК;головной убор;шапка;вязаный чехол;пряжа;шапка с поднимающими ушами;
ЧЕРВОТОЧИНА;кротовая нора;туннель;черные дыры;дыра-отправитель;отрицательная энергия;
ЧЕРЕШОК; узкая часть листа;соединитель;стебелек;элемент наконечника стрелы;суженная часть листа;
ЧЕРКЕСКА;верхняя мужская одежда;длинный узкий кафтан;традиционный мужской костюм;народная праздничная одежда;кафтан без воротников;
ЧЕРЛИДИНГ;танцы;вид спорта;гимнастика;акробатика;шоу;
ЧЕТВЕРОКУРСНИК;студент;выпускник;бакалавр;учащийся четвертого курса;человек, получающий образование;
ЧИАБАТТА;итальянский белый хлеб;национальное блюдо;сорт хлеба;ковровые тапочки;сорт хлеба;
ЧИЖ;птица;певчая птица;воробьиный отряд;вьюрковое семейство;пение;
ЧИЗКЕЙК;пирог;торт ;сырный пирог;творожный пирог ;суфле;
ЧИНОПОЧИТАНИЕ;уважение ;подчинение ;повиновение ;дисциплинарное отношение ;строгая регламентация;
ЧИРЛИДИНГ;танцы;вид спорта;гимнастика;акробатика;шоу;
ЧИСЛИТЕЛЬНОЕ;часть речи;количество предметов;порядок предметов;счет;член предложения;
ЧИСТОТЕЛ;желтый цветок;народная медицина;маковое семейство;лекарство;трава;
ЧРЕВОВЕЩАТЕЛЬ;развлечение ;имитация;различные звуки;иллюзия;голос из живота;
ЧУДО-ЮДО;чудовище;персонаж;морское чудище;славянский героический персонаж;богатырь ;
ЧУМ;палатка ;шалаш;традиционное жилище;дом;коническая форма;
ШАББАТ;праздник;встреча субботы;еврейская суббота;выходной;покой;
ШАГОМЕР;электронный прибор;часы;телефон;датчик;измерительный прибор;
ШАРАДА;загадка;беседа;болтовня;салонная игра;тайна;
ШАРЛОТКА;сладкий десерт;немецкое блюдо;яблочный пирог;запеченное тесто;пудинг;
ШВЕЙНИК;работник;рабочий;швейная промышленность;сотрудник ;кройщик;
ШЕЛКОВИЦА;тутовое дерево;тутовник;Ветроопыляемое растение;древесина;ягода;
ШЕРБЕТ;фруктовый прохладительный напиток;восточная сладость;сладкое кушанье;фруктовое мороженое;турецкий десерт;
ШЕСТИГРАННИК;металлическое изделие сортового проката;прутки;фигура с шестью гранями;ключ;деталь;
